filename,timestamp,psnr,ssim,mae,mse
image_86.jpg,2025-08-11 20:51:16,24.8387,0.7715,0.0342,0.0033
image_82640.jpg,2025-08-11 20:52:58,26.4464,0.6268,0.0321,0.0023
image_86.jpg,2025-08-18 08:50:02,24.8387,0.7715,0.0342,0.0033
image_82640.jpg,2025-08-18 10:39:16,26.4464,0.6268,0.0321,0.0023
IMG-20250718-WA0032.jpg,2025-08-18 10:42:28,21.8871,0.666,0.0533,0.0065
sign.jpg,2025-08-18 10:43:41,19.8791,0.5341,0.0717,0.0103
55afaa927e1e6aff08cada73132b80d7.jpg,2025-08-18 10:46:18,23.6938,0.7801,0.0407,0.0043
WhatsApp Image 2025-..._imresizer.jpg,2025-08-18 19:32:31,14.4349,0.2963,0.1432,0.036
WhatsApp Image 2025-08-18 at 19.15.11_569e346c.jpg,2025-08-18 19:33:50,15.496,0.3406,0.1271,0.0282
Photo1.jpg,2025-09-03 16:50:29,18.3706,0.631,0.079,0.0146
image_10000.jpg,2025-09-03 16:51:08,18.0449,0.5269,0.084,0.0157
image_65288.jpg,2025-09-03 16:51:28,18.8752,0.4515,0.072,0.013
image_994.jpg,2025-09-03 16:52:06,22.6597,0.6438,0.0502,0.0054
